"ulb","receiptdate","receiptnumber","createdtime","amountpaid","feetype"
"Nimapara","2021-11-19","11/2021-22/001585","2021-11-19",338.00,"WS Monthly Fee"
"Cuttack","2021-11-19","11/2021-22/001586","2021-11-19",1.00,"WS Monthly Fee"
"Cuttack","2021-11-19","11/2021-22/001587","2021-11-19",1.00,"WS Monthly Fee"
"Cuttack","2021-11-19","11/2021-22/001588","2021-11-19",1.00,"WS Monthly Fee"
"Cuttack","2021-11-19","11/2021-22/001592","2021-11-19",138.00,"WS Monthly Fee"
"Cuttack","2021-11-19","11/2021-22/001594","2021-11-19",138.00,"WS Monthly Fee"
"Athagarh","2021-11-19","11/2021-22/001610","2021-11-19",286.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-19","11/2021-22/001611","2021-11-19",104.00,"WS Monthly Fee"
"Cuttack","2021-11-21","11/2021-22/001690","2021-11-21",1414.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001693","2021-11-22",312.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001733","2021-11-22",1.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001785","2021-11-22",552.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001786","2021-11-22",527.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001787","2021-11-22",900.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001791","2021-11-22",648.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001792","2021-11-22",312.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001793","2021-11-22",145.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-23","11/2021-22/001796","2021-11-23",312.00,"WS Monthly Fee"
"Baripada","2021-11-23","11/2021-22/001797","2021-11-23",1295.00,"WS Monthly Fee"
"Cuttack","2021-11-23","11/2021-22/001798","2021-11-23",276.00,"WS Monthly Fee"
"Puri","2021-11-23","11/2021-22/001799","2021-11-23",388.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-23","11/2021-22/001853","2021-11-23",1320.00,"WS Monthly Fee"
"Puri","2021-11-23","11/2021-22/001880","2021-11-23",1.00,"WS Monthly Fee"
"Cuttack","2021-11-23","11/2021-22/001905","2021-11-23",276.00,"WS Monthly Fee"
"Puri","2021-11-23","11/2021-22/001918","2021-11-23",1.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-23","11/2021-22/001944","2021-11-23",416.00,"WS Monthly Fee"
"Puri","2021-11-23","11/2021-22/001983","2021-11-23",1.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-23","11/2021-22/001988","2021-11-23",4253.00,"WS Monthly Fee"
"Baripada","2021-11-24","11/2021-22/001999","2021-11-24",1.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-24","11/2021-22/002003","2021-11-24",1209.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-24","11/2021-22/002052","2021-11-24",1328.00,"WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002078","2021-11-24",1.00,"WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002098","2021-11-24",1.00,"WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002099","2021-11-24",1.00,"WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002100","2021-11-24",1.00,"WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002101","2021-11-24",1.00,"WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002102","2021-11-24",1.00,"WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002103","2021-11-24",1.00,"WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002104","2021-11-24",1.00,"WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002105","2021-11-24",1.00,"WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002106","2021-11-24",1.00,"WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002107","2021-11-24",1.00,"WS Monthly Fee"
"Baripada","2021-11-24","11/2021-22/002114","2021-11-24",1.00,"WS Monthly Fee"
"Baripada","2021-11-25","11/2021-22/002193","2021-11-25",1.00,"WS Monthly Fee"
"Puri","2021-11-25","11/2021-22/002201","2021-11-25",1.00,"WS Monthly Fee"
"Puri","2021-11-25","11/2021-22/002203","2021-11-25",1.00,"WS Monthly Fee"
"Puri","2021-11-25","11/2021-22/002204","2021-11-25",1.00,"WS Monthly Fee"
"Baripada","2021-11-25","11/2021-22/002206","2021-11-25",1.00,"WS Monthly Fee"
"Puri","2021-11-25","11/2021-22/002207","2021-11-25",1.00,"WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002241","2021-11-25",1.00,"WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002262","2021-11-25",1.00,"WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002264","2021-11-25",1.00,"WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002266","2021-11-25",1.00,"WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002267","2021-11-25",1.00,"WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002268","2021-11-25",1.00,"WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002269","2021-11-25",1.00,"WS Monthly Fee"
"Nayagarh","2021-11-25","11/2021-22/002270","2021-11-25",104.00,"WS Monthly Fee"
"Puri","2021-11-25","11/2021-22/002274","2021-11-25",1.00,"WS Monthly Fee"
"Baripada","2021-11-25","11/2021-22/002286","2021-11-25",1.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-25","11/2021-22/002287","2021-11-25",527.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-25","11/2021-22/002288","2021-11-25",312.00,"WS Monthly Fee"
"Baripada","2021-11-26","11/2021-22/002342","2021-11-26",1.00,"WS Monthly Fee"
"Puri","2021-11-26","11/2021-22/002346","2021-11-26",109.00,"WS Monthly Fee"
"Baripada","2021-11-27","11/2021-22/002397","2021-11-27",1.00,"WS Monthly Fee"
"Cuttack","2021-11-27","11/2021-22/002405","2021-11-27",414.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-28","11/2021-22/002410","2021-11-28",1372.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-28","11/2021-22/002411","2021-11-28",416.00,"WS Monthly Fee"
"Cuttack","2021-11-28","11/2021-22/002412","2021-11-28",278.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-28","11/2021-22/002413","2021-11-28",332.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-28","11/2021-22/002414","2021-11-28",633.00,"WS Monthly Fee"
"Puri","2021-11-29","11/2021-22/002418","2021-11-29",965.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-29","11/2021-22/002420","2021-11-29",642.00,"WS Monthly Fee"
"Puri","2021-11-29","11/2021-22/002426","2021-11-29",170.00,"WS Monthly Fee"
"Puri","2021-11-29","11/2021-22/002434","2021-11-29",648.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-29","11/2021-22/002454","2021-11-29",312.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-29","11/2021-22/002483","2021-11-29",1128.00,"WS Monthly Fee"
"Puri","2021-11-30","11/2021-22/002637","2021-11-30",104.00,"WS Monthly Fee"
"Puri","2021-11-30","11/2021-22/002657","2021-11-30",661.00,"WS Monthly Fee"
"Puri","2021-11-30","11/2021-22/002668","2021-11-30",500.00,"WS Monthly Fee"
"Puri","2021-11-30","11/2021-22/002669","2021-11-30",500.00,"WS Monthly Fee"
"Puri","2021-11-30","11/2021-22/002671","2021-11-30",500.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-30","11/2021-22/002673","2021-11-30",312.00,"WS Monthly Fee"
"Cuttack","2021-11-30","11/2021-22/002675","2021-11-30",414.00,"WS Monthly Fee"
"Cuttack","2021-11-30","11/2021-22/002676","2021-11-30",414.00,"WS Monthly Fee"
"Bhubaneswar","2021-11-30","11/2021-22/002716","2021-11-30",1776.00,"WS Monthly Fee"
"Puri","2021-12-01","12/2021-22/002724","2021-12-01",327.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-01","12/2021-22/002794","2021-12-01",55.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-01","12/2021-22/002796","2021-12-01",14513.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-01","12/2021-22/002798","2021-12-01",705.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-01","12/2021-22/002819","2021-12-01",1800.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-01","12/2021-22/002827","2021-12-01",435.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-02","12/2021-22/002952","2021-12-02",500.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-02","12/2021-22/003033","2021-12-02",55.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-02","12/2021-22/003041","2021-12-02",416.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-02","12/2021-22/003042","2021-12-02",856.00,"WS Monthly Fee"
"Kamakhyanagar","2021-12-03","12/2021-22/003059","2021-12-03",145.00,"WS Monthly Fee"
"Cuttack","2021-12-03","12/2021-22/003155","2021-12-03",276.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-04","12/2021-22/003191","2021-12-04",228.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-04","12/2021-22/003192","2021-12-04",104.00,"WS Monthly Fee"
"Puri","2021-12-04","12/2021-22/003207","2021-12-04",724.00,"WS Monthly Fee"
"Cuttack","2021-12-04","12/2021-22/003269","2021-12-04",412.00,"WS Monthly Fee"
"Cuttack","2021-12-04","12/2021-22/003294","2021-12-04",141.00,"WS Monthly Fee"
"Cuttack","2021-12-05","12/2021-22/003302","2021-12-05",414.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-05","12/2021-22/003320","2021-12-05",124.00,"WS Monthly Fee"
"Bhubaneswar","2021-12-05","12/2021-22/003326","2021-12-05",1038.00,"WS Monthly Fee"
"Puri","2021-12-06","12/2021-22/003344","2021-12-06",555.00,"WS Monthly Fee"
"Puri","2021-12-06","12/2021-22/003353","2021-12-06",337.00,"WS Monthly Fee"
"Puri","2021-12-06","12/2021-22/003356","2021-12-06",226.00,"WS Monthly Fee"
