"ulb","receiptdate","receiptnumber","createdtime","amountpaid","paymentmode","feetype"
"Cuttack","2021-01-16","01/2020-21/000001","2021-01-16",1225.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-16","01/2020-21/000002","2021-01-16",0.00,"ONLINE","BPA Application Fee"
"Berhmpurmouza","2021-01-18","01/2020-21/000003","2021-01-18",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-23","01/2020-21/000004","2021-01-23",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-23","01/2020-21/000005","2021-01-23",2286381.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-23","01/2020-21/000006","2021-01-23",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-23","01/2020-21/000007","2021-01-23",2286381.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000008","2021-01-24",1225.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000009","2021-01-24",1225.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000010","2021-01-24",35547.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000011","2021-01-24",4385.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000012","2021-01-24",35547.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000013","2021-01-24",1225.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000014","2021-01-24",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000015","2021-01-24",2286381.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000016","2021-01-24",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000017","2021-01-24",2286381.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000018","2021-01-24",1225.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000019","2021-01-24",35547.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000020","2021-01-24",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000021","2021-01-24",2286381.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-25","01/2020-21/000022","2021-01-25",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-25","01/2020-21/000023","2021-01-25",2286381.00,"ONLINE","BPA Sanction Fee"
"Angul","2021-01-27","01/2020-21/000024","2021-01-27",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000025","2021-01-27",1225.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000026","2021-01-27",35547.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-27","01/2020-21/000027","2021-01-27",4385.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000028","2021-01-27",35547.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-27","01/2020-21/000029","2021-01-27",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000030","2021-01-27",2286381.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-27","01/2020-21/000031","2021-01-27",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000032","2021-01-27",2286381.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-28","01/2020-21/000033","2021-01-28",1225.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-28","01/2020-21/000034","2021-01-28",35547.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-29","01/2020-21/000035","2021-01-29",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-29","01/2020-21/000036","2021-01-29",2286382.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-29","01/2020-21/000037","2021-01-29",4386.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-01-29","01/2020-21/000038","2021-01-29",35548.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-01-30","01/2020-21/000039","2021-01-30",1806.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-01","02/2020-21/000040","2021-02-01",1806.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-01","02/2020-21/000041","2021-02-01",35548.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-01","02/2020-21/000042","2021-02-01",1806.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-01","02/2020-21/000043","2021-02-01",35548.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-02","02/2020-21/000044","2021-02-02",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-02","02/2020-21/000045","2021-02-02",2286382.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-02","02/2020-21/000046","2021-02-02",120372.00,"ONLINE","BPA Application Fee"
"Cuttack","2021-02-02","02/2020-21/000047","2021-02-02",2286382.00,"ONLINE","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000048","2021-02-05",1806.00,"ONLINE","BPA Application Fee"
